
Action            | Entity               | Action Description
------------------| -------------------- | --------------------
[GHOST INIT]      | Ghost                |   is a [Phantom] in room [Master Bedroom]
[HUNTER INIT]     | [1]                  |   is a [EMF] hunter
[HUNTER INIT]     | [2]                  |   is a [SOUND] hunter
[HUNTER INIT]     | [2]                  |   is a [FINGERPRINTS] hunter
[HUNTER INIT]     | [4]                  |   is a [TEMPERATURE] hunter
[GHOST MOVE]      | Ghost                |   has moved into [Hallway]
[GHOST EVIDENCE]  | Ghost                |   left [SOUND] in [Hallway]
[GHOST MOVE]      | Ghost                |   has moved into [Kitchen]
[HUNTER REVIEW]   | [4]                  |   reviewed evidence and found [INSUFFICIENT]
[GHOST MOVE]      | Ghost                |   has moved into [Garage]
[GHOST EVIDENCE]  | Ghost                |   left [TEMPERATURE] in [Garage]
[GHOST MOVE]      | Ghost                |   has moved into [Kitchen]
[GHOST MOVE]      | Ghost                |   has moved into [Living Room]
[GHOST EVIDENCE]  | Ghost                |   left [TEMPERATURE] in [Living Room]
[GHOST MOVE]      | Ghost                |   has moved into [Kitchen]
[HUNTER REVIEW]   | [2]                  |   reviewed evidence and found [INSUFFICIENT]
[HUNTER REVIEW]   | [1]                  |   reviewed evidence and found [INSUFFICIENT]
[HUNTER REVIEW]   | [2]                  |   reviewed evidence and found [INSUFFICIENT]
[GHOST EVIDENCE]  | Ghost                |   left [SOUND] in [Kitchen]
[GHOST EVIDENCE]  | Ghost                |   left [FINGERPRINTS] in [Kitchen]
[GHOST MOVE]      | Ghost                |   has moved into [Living Room]
[HUNTER MOVE]     | [2]                  |   has moved into [Hallway]
[GHOST EVIDENCE]  | Ghost                |   left [FINGERPRINTS] in [Living Room]
[GHOST EVIDENCE]  | Ghost                |   left [TEMPERATURE] in [Living Room]
[GHOST MOVE]      | Ghost                |   has moved into [Kitchen]
[HUNTER REVIEW]   | [1]                  |   reviewed evidence and found [INSUFFICIENT]
[HUNTER MOVE]     | [4]                  |   has moved into [Hallway]
[GHOST EVIDENCE]  | Ghost                |   left [SOUND] in [Kitchen]
[HUNTER EVIDENCE] | [2]                  |   found [SOUND] in [Hallway] and [COLLECTED]
[GHOST EVIDENCE]  | Ghost                |   left [SOUND] in [Kitchen]
[GHOST EVIDENCE]  | Ghost                |   left [SOUND] in [Kitchen]
[GHOST MOVE]      | Ghost                |   has moved into [Living Room]
[HUNTER MOVE]     | [1]                  |   has moved into [Hallway]
[HUNTER REVIEW]   | [2]                  |   reviewed evidence and found [INSUFFICIENT]
[GHOST MOVE]      | Ghost                |   has moved into [Kitchen]
[GHOST MOVE]      | Ghost                |   has moved into [Living Room]
[GHOST MOVE]      | Ghost                |   has moved into [Kitchen]
[GHOST EVIDENCE]  | Ghost                |   left [TEMPERATURE] in [Kitchen]
[GHOST MOVE]      | Ghost                |   has moved into [Living Room]
[GHOST EVIDENCE]  | Ghost                |   left [TEMPERATURE] in [Living Room]
[HUNTER MOVE]     | [1]                  |   has moved into [Kitchen]
